"hh_id","kebele","woreda","zone","killil","dispute","land_red","age_head","f_head","edu_head","m_ad","f_ad","hh_size","n_plots","cert_rnd_two","cert_rnd_one","cert","ironroof2","mobile2","taperec2","radio2","sofa2","barrel2","cart2","plow2","jewelty2","townhouse2","wealth_score","credit_amt","credit"
"209","248","212","21","2",1,0,68,1,0,2,2,5,11,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"210","248","212","21","2",0,0,24,1,0,0,1,2,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,0,0
"211","248","212","21","2",0,1,80,0,0,1,1,2,6,0,1,1,1,0,0,0,0,1,0,0,0,0,0.512144358987515,0,0
"212","248","212","21","2",0,0,45,0,0,1,0,2,6,0,1,1,1,0,0,1,0,0,0,1,0,0,0.419657196262942,0,0
"213","248","212","21","2",0,0,62,1,0,2,1,3,6,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"214","248","212","21","2",0,0,56,0,1,3,2,8,9,0,1,1,1,1,0,1,0,1,0,1,0,0,-0.543530463528636,0,0
"215","248","212","21","2",0,0,64,0,0,3,1,7,7,0,1,1,1,1,0,1,0,0,0,1,0,0,-0.0643278286413472,0,0
"216","248","212","21","2",0,0,40,1,0,1,1,5,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1.257309600195,0,0
"217","247","212","21","2",0,0,45,0,1,1,1,8,6,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,0,0
"219","247","212","21","2",0,0,46,0,1,1,1,6,23,0,1,1,1,1,0,1,0,1,0,1,0,0,-0.543530463528636,0,0
"221","247","212","21","2",0,0,53,0,1,3,1,7,14,0,1,1,1,1,0,1,0,1,0,1,0,0,-0.543530463528636,0,0
"223","247","212","21","2",1,1,68,0,0,1,0,2,11,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"224","247","212","21","2",0,0,73,0,1,2,1,5,4,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,0,0
"225","247","212","21","2",0,0,90,0,0,1,0,1,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,0,0
"226","242","212","21","2",0,0,70,0,0,2,1,5,11,0,1,1,1,0,1,0,0,0,0,1,0,0,0.530368170103234,0,0
"227","246","212","21","2",1,1,65,1,0,1,1,3,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0.991346993874805,0,0
"228","246","212","21","2",0,0,48,0,1,2,1,7,11,0,1,1,1,0,0,1,0,1,0,1,0,0,-0.0595454386243472,0,0
"229","246","212","21","2",0,1,40,0,0,2,1,4,13,0,1,1,0,1,0,0,0,1,0,1,0,0,0.103322122819616,0,0
"230","246","212","21","2",1,0,61,0,0,5,2,11,16,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,7000,1
"232","246","212","21","2",0,0,65,1,0,1,2,3,12,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"234","246","212","21","2",0,0,55,0,1,2,2,6,13,0,1,1,0,0,0,0,0,0,0,1,0,0,1.06650978261119,0,0
"235","242","212","21","2",0,0,60,0,0,1,3,6,6,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,100,1
